Id,Rate
0,0.1299
1,0.1947287
2,0.1461879
3,0.1015187
4,0.1335
5,0.0967
6,0.1171275
7,0.1431
8,0.1212
9,0.1212
10,0.1433314
11,0.1878
12,0.1779063
13,0.1892
14,0.1614224
15,0.1594133
16,0.095933
17,0.1128459
18,0.0964496
19,0.1116052
20,0.1016
21,0.104654
22,0.1353
23,0.0931233
24,0.1199
25,0.1716531
26,0.089
27,0.21
28,0.0749
29,0.0848283
30,0.1587976
31,0.1073406
32,0.2027514
33,0.0825693
34,0.1335
35,0.1299006
36,0.0714
37,0.210332
38,0.0839
39,0.089
40,0.1725338
41,0.1233384
42,0.0966763
43,0.1659
44,0.1083794
45,0.0917328
46,0.1849
47,0.1282804
48,0.1649
49,0.1199
50,0.1824
51,0.1235
52,0.171
53,0.1422894
54,0.1858032
55,0.1659
56,0.0621176
57,0.1020278
58,0.158
59,0.1114484
60,0.1561
61,0.0648954
62,0.1377894
63,0.1140237
64,0.1099
65,0.1077353
66,0.0873618
67,0.1213417
68,0.1099
69,0.0926071
70,0.1013266
71,0.0886773
72,0.106559
73,0.0966763
74,0.1299
75,0.1335
76,0.1299
77,0.2534941
78,0.1776
79,0.1167
80,0.089
81,0.0922388
82,0.0921521
83,0.1627472
84,0.1409
85,0.1522001
86,0.0967
87,0.089
88,0.2386837
89,0.0712
90,0.1504349
91,0.1498
92,0.1499
93,0.1572414
94,0.0649
95,0.1311
96,0.162
97,0.1090295
98,0.1299
99,0.1128459
100,0.1083794
101,0.1665217
102,0.0769
103,0.1167
104,0.1099
105,0.0850457
106,0.1889124
107,0.0839
108,0.0650598
109,0.0859988
110,0.1620115
111,0.1116204
112,0.1118104
113,0.0848283
114,0.1629
115,0.1037523
116,0.143
117,0.1454799
118,0.096935
119,0.08
120,0.1526476
121,0.0762
122,0.0662135
123,0.1398
124,0.1167
125,0.0847124
126,0.1499
127,0.2205404
128,0.1099
129,0.1037523
130,0.2295058
131,0.0662
132,0.1853725
133,0.0751
134,0.1013266
135,0.1547972
136,0.1715384
137,0.0769
138,0.0800409
139,0.0749
140,0.106587
141,0.0649
142,0.2048917
143,0.171
144,0.1447
145,0.1438069
146,0.1299
147,0.1583033
148,0.1299
149,0.2465621
150,0.258
151,0.156119
152,0.0800409
153,0.1433054
154,0.1038865
155,0.0922388
156,0.1013266
157,0.1037523
158,0.0712
159,0.1449
160,0.173225
161,0.1127604
162,0.166694
163,0.1531
164,0.1418282
165,0.1658739
166,0.1114
167,0.0948737
168,0.1013266
169,0.1171
170,0.1304898
171,0.1398169
172,0.0662
173,0.1699029
174,0.1433197
175,0.1015
176,0.0966763
177,0.1114
178,0.0839
179,0.1398
180,0.249024
181,0.0961793
182,0.1430465
183,0.1013266
184,0.1047936
185,0.1114
186,0.089
187,0.1015
188,0.1952
189,0.1754194
190,0.2148078
191,0.103709
192,0.1020214
193,0.1288722
194,0.1563762
195,0.1499253
196,0.1210052
197,0.1398
198,0.1116204
199,0.1846625
200,0.0762
201,0.0948737
202,0.1904909
203,0.1640547
204,0.0684677
205,0.0788024
206,0.1431
207,0.0649
208,0.1413907
209,0.1531
210,0.1727
211,0.1335
212,0.1366958
213,0.1383377
214,0.1545161
215,0.1530883
216,0.089
217,0.099101
218,0.0756936
219,0.0603
220,0.1311
221,0.1116204
222,0.1114
223,0.1249
224,0.1099
