Id,Rate
0,0.129371228
1,0.183669021
2,0.149982755
3,0.107817554
4,0.131415507
5,0.09671213
6,0.116884593
7,0.142803954
8,0.122333028
9,0.122333028
10,0.14425216
11,0.179902451
12,0.165375775
13,0.187318378
14,0.152516935
15,0.168869675
16,0.108079768
17,0.238649847
18,0.104376089
19,0.121391482
20,0.101646181
21,0.22581582
22,0.136109693
23,0.23100887
24,0.120297976
25,0.166330763
26,0.079843688
27,0.208050997
28,0.075471582
29,0.222552882
30,0.159225204
31,0.103551096
32,0.206349243
33,0.08093403
34,0.133993872
35,0.126056224
36,0.070525858
37,0.205752604
38,0.078552
39,0.088802934
40,0.161088115
41,0.124674419
42,0.231828292
43,0.166730319
44,0.223932769
45,0.105932745
46,0.184483527
47,0.133269616
48,0.16340928
49,0.120317567
50,0.183395033
51,0.123393803
52,0.168173924
53,0.144168489
54,0.183632583
55,0.16613953
56,0.065261001
57,0.220643709
58,0.15751239
59,0.117641474
60,0.155393192
61,0.068123304
62,0.139121117
63,0.232239441
64,0.10745933
65,0.101786114
66,0.107521628
67,0.126162156
68,0.110640777
69,0.234572162
70,0.225666652
71,0.2201236
72,0.223986245
73,0.231774502
74,0.130039494
75,0.133264564
76,0.129850228
77,0.253001457
78,0.175265872
79,0.118670928
80,0.079062429
81,0.23462172
82,0.224138816
83,0.16057016
84,0.136040636
85,0.151173732
86,0.097124855
87,0.087673193
88,0.227405741
89,0.070549157
90,0.150553123
91,0.150136058
92,0.150756223
93,0.156784549
94,0.064965172
95,0.131192225
96,0.165182375
97,0.223672292
98,0.13117414
99,0.232209153
100,0.223943537
101,0.153781776
102,0.076886807
103,0.117553719
104,0.110002529
105,0.223422198
106,0.185679498
107,0.082852572
108,0.076251881
109,0.083828652
110,0.15553666
111,0.232660984
112,0.116258552
113,0.222553924
114,0.161904608
115,0.224023361
116,0.1403963
117,0.152457596
118,0.106711566
119,0.07964824
120,0.152717014
121,0.076174442
122,0.067673042
123,0.139676076
124,0.116808078
125,0.222977695
126,0.149189449
127,0.213346106
128,0.109197264
129,0.224009324
130,0.242256599
131,0.06684335
132,0.183265938
133,0.072761357
134,0.242256599
135,0.151299912
136,0.186497744
137,0.076843914
138,0.232536546
139,0.075926425
140,0.222876386
141,0.071633881
142,0.198142404
143,0.168173924
144,0.146311466
145,0.150925261
146,0.127974257
147,0.159684746
148,0.130335392
149,0.234355361
150,0.252762432
151,0.175392156
152,0.23359822
153,0.142121362
154,0.106342311
155,0.23460926
156,0.242256599
157,0.227529713
158,0.071424355
159,0.144637454
160,0.170251385
161,0.232870443
162,0.158927311
163,0.154590221
164,0.147028905
165,0.165659135
166,0.110962459
167,0.234092098
168,0.224929518
169,0.116808078
170,0.12810492
171,0.141007384
172,0.066180625
173,0.166953071
174,0.1478409
175,0.102019264
176,0.231781026
177,0.11036247
178,0.084043393
179,0.1399046
180,0.242470645
181,0.233901603
182,0.141503256
183,0.242256599
184,0.107094541
185,0.110496842
186,0.089199493
187,0.101000028
188,0.185640123
189,0.174775459
190,0.208067067
191,0.101786414
192,0.104312433
193,0.122724088
194,0.151025345
195,0.149575306
196,0.127558299
197,0.140051994
198,0.232564521
199,0.176312222
200,0.079592241
201,0.240253414
202,0.187243816
203,0.166054525
204,0.067142635
205,0.077661281
206,0.143107296
207,0.064176199
208,0.14028893
209,0.154040976
210,0.167298156
