Id,Rate
0,0.1299
1,0.1865817
2,0.1466129
3,0.1012486
4,0.1335
5,0.0967
6,0.1175172
7,0.1431
8,0.1212
9,0.1212
10,0.1432623
11,0.188374
12,0.1721583
13,0.1892
14,0.162699
15,0.169802
16,0.0956428
17,0.1666255
18,0.0980103
19,0.110615
20,0.1016
21,0.143862
22,0.1353
23,0.1581358
24,0.1199
25,0.1723016
26,0.089
27,0.209887
28,0.0749
29,0.1449572
30,0.1587919
31,0.1071794
32,0.2000326
33,0.0844468
34,0.1335
35,0.131284
36,0.0714
37,0.2052305
38,0.0839
39,0.089
40,0.1725616
41,0.1240326
42,0.1600716
43,0.1659
44,0.1533561
45,0.0917542
46,0.1849
47,0.1269945
48,0.1649
49,0.1199
50,0.1824
51,0.1235
52,0.171
53,0.1422431
54,0.185327
55,0.1659
56,0.0612294
57,0.1394419
58,0.158
59,0.1110783
60,0.1561
61,0.0649013
62,0.143458
63,0.1564581
64,0.1099
65,0.1105815
66,0.0873304
67,0.1211621
68,0.1099
69,0.1584924
70,0.1433985
71,0.1497599
72,0.1542272
73,0.160707
74,0.1299
75,0.1335
76,0.1299
77,0.2509192
78,0.1776
79,0.1167
80,0.089
81,0.1576489
82,0.1519929
83,0.1629384
84,0.1409
85,0.1521942
86,0.0967
87,0.089
88,0.236012
89,0.0712
90,0.150947
91,0.1498
92,0.1499
93,0.157833
94,0.0649
95,0.1311
96,0.162
97,0.1484041
98,0.1299
99,0.1520109
100,0.1532383
101,0.1641967
102,0.0769
103,0.1167
104,0.1099
105,0.1499291
106,0.1854693
107,0.0839
108,0.0650742
109,0.085979
110,0.1619986
111,0.1503674
112,0.115192
113,0.1446932
114,0.1629
115,0.1511508
116,0.1430012
117,0.1414746
118,0.0970123
119,0.08
120,0.1527524
121,0.0762
122,0.0661935
123,0.1398
124,0.1167
125,0.1482187
126,0.1499
127,0.2196495
128,0.1099
129,0.1528657
130,0.2295768
131,0.0662
132,0.1854765
133,0.0751253
134,0.1620156
135,0.149241
136,0.1724604
137,0.0769
138,0.1474327
139,0.0749
140,0.1443907
141,0.0649
142,0.2044517
143,0.171
144,0.1447
145,0.1443197
146,0.1299
147,0.1585392
148,0.1299
149,0.2441354
150,0.258
151,0.1561124
152,0.1508178
153,0.1470814
154,0.1039929
155,0.1576489
156,0.1610673
157,0.1488016
158,0.0712
159,0.1449
160,0.1730408
161,0.1502108
162,0.1682783
163,0.1531
164,0.1429451
165,0.1654166
166,0.1114
167,0.1519643
168,0.1444517
169,0.1171
170,0.1304898
171,0.1384583
172,0.0662
173,0.1699451
174,0.1431651
175,0.1015
176,0.1602964
177,0.1114
178,0.0839
179,0.1398001
180,0.249024
181,0.1500759
182,0.1409011
183,0.1604606
184,0.1048664
185,0.1114
186,0.089
187,0.1015
188,0.1952
189,0.1765455
190,0.2148683
191,0.1041452
192,0.097804
193,0.1241059
194,0.151575
195,0.1503535
196,0.1205799
197,0.1398
198,0.1504878
199,0.1829544
200,0.0762
201,0.1570669
202,0.1904909
203,0.1645
204,0.0675705
205,0.0788523
206,0.1431
207,0.0649
208,0.1417523
209,0.153261
210,0.1727
211,0.1335
212,0.1366958
213,0.1387902
214,0.1608344
215,0.153121
216,0.089
217,0.099101
218,0.0760308
219,0.0603
220,0.1311
221,0.1590181
222,0.1114
223,0.1249
224,0.1099
225,0.1373566
226,0.1491157
227,0.1531
228,0.1365032
229,0.1211666
230,0.1148995
231,0.162325
232,0.1629
233,0.2383145
234,0.1577192
235,0.1433
236,0.155865
237,0.0769021
238,0.1517613
239,0.126906
240,0.1474495
241,0.1099
242,0.1433
243,0.1449
244,0.1502081
245,0.079
246,0.1449
247,0.119068
248,0.0769
249,0.1449
250,0.160863
251,0.1730546
252,0.089
253,0.1493642
254,0.089
255,0.1727
256,0.1199
257,0.1335
258,0.1148995
259,0.0839
260,0.1699
261,0.1561019
262,0.1447
263,0.1301466
264,0.1099
265,0.1064997
266,0.0976
267,0.1345121
268,0.1433
269,0.1080139
270,0.1000843
271,0.1049
272,0.1431
273,0.1757
274,0.1698732
275,0.1551721
276,0.1351248
277,0.16563
278,0.1578324
279,0.1298914
280,0.1591373
281,0.1509224
282,0.1495226
283,0.1494966
284,0.1449
285,0.1531094
286,0.1311
287,0.0603
288,0.1629768
289,0.1797639
290,0.089
291,0.116127
292,0.1574514
293,0.1198884
294,0.1049571
295,0.1299
296,0.146327
297,0.0988468
298,0.1334942
299,0.0603
300,0.224
301,0.158
302,0.1103308
303,0.160707
304,0.2114985
305,0.1553475
306,0.128514
307,0.1099
308,0.1462617
309,0.1515332
310,0.1166044
311,0.1347383
312,0.151
313,0.1299
314,0.1112173
315,0.1699
316,0.1167
317,0.1997512
318,0.1050908
319,0.1563714
320,0.0749
321,0.0839
322,0.1212
323,0.2320276
324,0.1416
325,0.1099
326,0.0699
327,0.1548215
328,0.1597726
329,0.1175769
330,0.1431
331,0.142778
332,0.0762
333,0.1016
334,0.1629
335,0.1335
336,0.1509905
337,0.1310266
338,0.1299
339,0.129087
340,0.1114
341,0.1901041
342,0.143394
343,0.1449
344,0.1326998
345,0.1015
346,0.0949
347,0.158
348,0.1951823
349,0.2468026
350,0.1417175
351,0.0999
352,0.1560878
353,0.1099
354,0.1199008
355,0.2049028
356,0.1677892
357,0.1531
358,0.1370809
359,0.1335768
360,0.1629
361,0.1412427
362,0.1306948
363,0.1857764
364,0.1629
365,0.1513015
366,0.165735
