Id,Rate
0,0.122054864
1,0.155460673
2,0.167556068
3,0.143942136
4,0.116559135
5,0.125851925
6,0.132767963
7,0.122054864
8,0.120216129
9,0.120216129
10,0.120337757
11,0.127740102
12,0.155856201
13,0.185837613
14,0.126942247
15,0.117591801
16,0.156827817
17,0.183701275
18,0.143095771
19,0.155417863
20,0.116410927
21,0.159335578
22,0.125851925
23,0.116410927
24,0.113359887
25,0.175367098
26,0.128762583
27,0.132654586
28,0.120216129
29,0.125394596
30,0.136415925
31,0.132086149
32,0.160250885
33,0.170400916
34,0.122591963
35,0.134544305
36,0.122591963
37,0.18577174
38,0.124645682
39,0.125394596
40,0.20256458
41,0.179100478
42,0.116410927
43,0.177048893
44,0.113359887
45,0.123634179
46,0.116410927
47,0.181154119
48,0.162473307
49,0.124645682
50,0.185837613
51,0.122591963
52,0.117789858
53,0.116410927
54,0.151024473
55,0.116410927
56,0.158828916
57,0.161665117
58,0.14448926
59,0.14082389
60,0.120216129
61,0.111720381
62,0.114358309
63,0.1353089
64,0.119590581
65,0.190209392
66,0.159335578
67,0.161044187
68,0.104512944
69,0.135603267
70,0.148516268
71,0.162365289
72,0.104512944
73,0.121092143
74,0.122591963
75,0.162473307
76,0.116559135
77,0.181697126
78,0.162365289
79,0.114358309
80,0.127740102
81,0.122591963
82,0.128762583
83,0.195439191
84,0.114358309
85,0.132654586
86,0.114358309
87,0.116559135
88,0.166533463
89,0.116410927
90,0.169628297
91,0.122591963
92,0.122479738
93,0.122054864
94,0.113359887
95,0.12557513
96,0.125851925
97,0.163863642
98,0.12557513
99,0.138949951
100,0.113359887
101,0.15647328
102,0.117789858
103,0.116559135
104,0.116410927
105,0.120337757
106,0.180267459
107,0.11747205
108,0.123244981
109,0.113359887
110,0.104718177
111,0.117789858
112,0.15087454
113,0.125394596
114,0.156669511
115,0.113142783
116,0.104718177
117,0.128120666
118,0.114630316
119,0.122591963
120,0.122054864
121,0.117789858
122,0.126942247
123,0.166717362
124,0.116410927
125,0.12119678
126,0.116410927
127,0.171848098
128,0.122054864
129,0.128657684
130,0.14448926
131,0.103577975
132,0.162365289
133,0.136415925
134,0.151125323
135,0.160919823
136,0.159142177
137,0.122054864
138,0.13834343
139,0.116410927
140,0.156669511
141,0.116013251
142,0.122479738
143,0.117789858
144,0.117789858
145,0.149789025
146,0.122482985
147,0.201083575
148,0.120216129
149,0.140933025
150,0.177048893
151,0.113142783
152,0.14187496
153,0.143913447
154,0.116410927
155,0.122591963
156,0.159129166
157,0.177048893
158,0.104718177
159,0.125394596
160,0.183232406
161,0.117789858
162,0.12119678
163,0.113359887
164,0.120993982
165,0.13865071
166,0.116559135
167,0.160194099
168,0.11747205
169,0.116410927
170,0.133612109
171,0.140474476
172,0.116410927
173,0.133612109
174,0.126607796
175,0.132654586
176,0.116410927
177,0.125394596
178,0.122054864
179,0.14187496
180,0.162365289
181,0.132654586
182,0.180725379
183,0.132767963
184,0.161983863
185,0.114358309
186,0.116410927
187,0.11626947
188,0.11747205
189,0.152457045
190,0.162556094
191,0.147679422
192,0.162473307
193,0.134935104
194,0.196868328
195,0.116194514
196,0.120993982
197,0.162365289
198,0.117789858
199,0.123244981
200,0.113142783
201,0.132499461
202,0.122479738
203,0.1635049
204,0.141544901
205,0.112384279
206,0.162473307
207,0.112384279
208,0.143218247
209,0.12119678
210,0.177048893
211,0.185837613
212,0.12557513
213,0.116410927
214,0.193247471
215,0.16017445
216,0.122591963
217,0.132654586
218,0.121092143
219,0.122054864
220,0.132654586
221,0.117591801
222,0.122591963
223,0.117789858
224,0.122479738
225,0.160194099
226,0.128762583
227,0.162386859
228,0.137545899
229,0.149190227
230,0.122479738
231,0.11626947
232,0.122591963
233,0.161665117
234,0.165209561
235,0.125394596
236,0.104512944
237,0.128762583
238,0.129577376
239,0.117789858
240,0.140933025
241,0.116410927
242,0.116410927
243,0.177048893
244,0.14773067
245,0.116410927
246,0.125851925
247,0.158872663
248,0.122479738
249,0.14448926
250,0.196777668
251,0.14145196
252,0.113359887
253,0.143109027
254,0.113359887
255,0.122054864
256,0.117789858
257,0.158872663
258,0.122479738
259,0.113359887
260,0.159142177
261,0.166717362
262,0.117789858
263,0.128606546
264,0.14448926
265,0.166717362
266,0.116410927
267,0.129577376
268,0.117789858
269,0.152967036
270,0.158872663
271,0.122591963
272,0.117789858
273,0.122479738
274,0.161358486
275,0.113142783
276,0.12905386
277,0.126942247
278,0.135603267
279,0.126433385
280,0.144012821
281,0.142237048
282,0.14773067
283,0.122054864
284,0.122591963
285,0.11626947
286,0.117789858
287,0.116410927
288,0.164624297
289,0.160038362
290,0.125394596
291,0.170690524
292,0.137968695
293,0.109628587
294,0.127626028
295,0.116410927
296,0.170265806
297,0.15155909
298,0.140933025
299,0.113142783
300,0.162473307
301,0.162473307
302,0.160435566
303,0.116125656
304,0.136415925
305,0.144036345
306,0.12119678
307,0.114358309
308,0.122482985
309,0.181111239
310,0.164769251
311,0.121313305
312,0.159142177
313,0.177048893
314,0.113359887
315,0.161616783
316,0.116410927
317,0.176869169
318,0.104512944
319,0.134081461
320,0.113359887
321,0.122479738
322,0.12557513
323,0.186639787
324,0.136415925
325,0.117789858
326,0.125394596
327,0.113359887
328,0.147242127
329,0.123305475
330,0.113359887
331,0.138378671
332,0.114358309
333,0.116410927
334,0.162473307
335,0.159142177
336,0.122591963
